67817 633 1 15554 16192 27679 21268 0
67866 633 1 15554 16192 27679 21274 0
67878 633 1 15554 16192 27679 21274 0
67916 633 1 15546 16192 27679 21274 0
67966 633 1 15546 16180 27679 21274 0
68050 633 1 15546 16180 26954 21274 0
68116 633 1 15546 16180 26954 21257 0
68116 633 1 15546 16180 26954 21257 0
68166 633 1 15540 16180 26954 21257 0
68200 633 1 15540 16188 26954 21257 0
68266 634 1 15540 16188 25388 21257 0
68333 638 1 15540 16188 25388 21244 0
68333 638 1 15540 16188 25388 21244 0
68383 638 1 15552 16188 25388 21244 0
68433 641 1 15552 16177 25388 21244 0
68500 643 1 15552 16177 24713 21244 0
68566 645 1 15552 16177 24713 21216 0
68566 645 1 15552 16177 24713 21216 0
68600 645 1 15543 16177 24713 21216 0
68650 647 1 15543 16177 24713 21216 0
68716 652 1 15543 16177 24501 21216 0
68783 656 1 15543 16177 24501 21208 0
68783 656 1 15543 16177 24501 21208 0
68834 660 1 15543 16177 24501 21208 0
68883 665 1 15543 16176 24501 21208 0
68934 669 1 15543 16176 24332 21208 0
69000 676 1 15543 16176 24332 21199 0
69000 676 1 15543 16176 24332 21199 0
69050 682 1 15549 16176 24332 21199 0
69100 687 1 15549 16166 24332 21199 0
69166 689 1 15549 16166 24267 21199 0
69233 693 1 15549 16166 24267 21180 0
69233 693 1 15549 16166 24267 21180 0
69283 695 1 15576 16166 24267 21180 0
69333 695 1 15576 16167 24267 21180 0
69384 698 1 15576 16167 24250 21180 0
69450 702 1 15576 16167 24250 21184 0
69450 702 1 15576 16167 24250 21184 0
69500 704 1 15583 16167 24250 21184 0
69550 706 1 15583 16159 24250 21184 0
69616 711 1 15583 16159 24233 21184 0
69683 715 1 15583 16159 24233 21187 0
69683 715 1 15583 16159 24233 21187 0
69733 717 1 15570 16159 24233 21187 0
69766 719 1 15570 16155 24233 21187 0
69833 724 1 15570 16155 24225 21187 0
69900 724 1 15570 16155 24225 21182 0
69900 724 1 15570 16155 24225 21182 0
69950 724 1 15560 16155 24225 21182 0
70000 724 1 15560 16147 24225 21182 0
70066 724 1 15560 16147 24228 21182 0
70133 724 1 15560 16147 24228 21189 0
70133 724 1 15560 16147 24228 21189 0
70166 724 1 15567 16147 24228 21189 0
70213 724 1 15567 16155 24228 21189 0
70283 724 1 15567 16155 24229 21189 0
70341 724 1 15567 16155 24229 21182 0
70341 724 1 15567 16155 24229 21182 0
70389 724 1 15556 16155 24229 21182 0
